,Rank (Borda),Model,Zero-shot,Memory Usage (MB),Number of Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Clustering,Instruction Reranking,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
238,239,[ruri-base](https://huggingface.co/cl-nagoya/ruri-base),⚠️ NA,212.0,0.111,768.0,512.0,,,,70.44,47.5,,,,,,82.93
239,240,[ruri-v3-130m](https://huggingface.co/cl-nagoya/ruri-v3-130m),99%,504.0,0.132,512.0,8192.0,,,,75.23,47.33,,,,,,73.93
240,241,[ruri-v3-70m](https://huggingface.co/cl-nagoya/ruri-v3-70m),99%,140.0,0.07,256.0,8192.0,,,,73.6,47.85,,,,,,75.85
241,242,[ruri-base-v2](https://huggingface.co/cl-nagoya/ruri-base-v2),⚠️ NA,424.0,0.111,768.0,512.0,,,,70.23,46.9,,,,,,82.76
242,243,[ruri-v3-30m](https://huggingface.co/cl-nagoya/ruri-v3-30m),100%,140.0,0.037,256.0,8192.0,,,,70.02,45.7,,,,,,81.4
243,244,[USER2-base](https://huggingface.co/collections/deepvk/user2-6802650d7210f222ec60e05f),95%,568.0,0.149,768.0,8192.0,,,,69.47,,,44.05,56.38,69.73,,
244,245,[Hakim](https://huggingface.co/MCINext/Hakim),100%,475.0,0.124,768.0,512.0,,,,69.42,,,,,88.92,67.76,
245,246,[Tooka-SBERT-V2-Large](https://huggingface.co/PartAI/Tooka-SBERT-V2-Large),⚠️ NA,1347.0,0.353,1024.0,512.0,,,,67.85,,,,,86.48,67.92,
246,247,[Tooka-SBERT-V2-Small](https://huggingface.co/PartAI/Tooka-SBERT-V2-Small),⚠️ NA,496.0,0.123,768.0,512.0,,,,66.02,,,,,85.25,69.3,
247,248,[mdbr-leaf-ir](https://huggingface.co/MongoDB/mdbr-leaf-ir),100%,86.0,0.023,768.0,512.0,,,,,,,,,,46.67,
248,249,[USER2-small](https://huggingface.co/collections/deepvk/user2-6802650d7210f222ec60e05f),95%,131.0,0.034,384.0,8192.0,,,,66.39,,,39.44,54.02,66.03,,
